Year,Month,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $)
2006,9,328.55,415.34
2006,10,318.16,405.67
2006,11,318.16,405.67
2006,12,318.16,405.67
2007,1,317.84,401.06
2007,2,317.84,401.06
2007,3,317.84,401.06
2007,4,325.39,402.97
2007,5,325.39,402.97
2007,6,325.39,402.97
2007,7,325.26,401.71
2007,8,325.26,401.71
2007,9,325.26,401.71
2007,10,329.77,404.4
2007,11,329.77,404.4
2007,12,329.77,404.4
2008,1,333.29,404.13
2008,2,333.29,404.13
2008,3,333.29,404.13
2008,4,346.99,411.7
2008,5,346.99,411.7
2008,6,346.99,411.7
2008,7,346.38,406.24
2008,8,346.38,406.24
2008,9,346.38,406.24
2008,10,345.42,416.91
2008,11,345.42,416.91
2008,12,345.42,416.91
2009,1,313.82,380.66
2009,2,313.82,380.66
2009,3,313.82,380.66
2009,4,301.82,362.27
2009,5,301.82,362.27
2009,6,301.82,362.27
2009,7,310.35,369.99
2009,8,310.35,369.99
2009,9,310.35,369.99
2009,10,319.85,380.56
2009,11,319.85,380.56
2009,12,319.85,380.56
2010,1,328.12,388.83
2010,2,328.12,388.83
2010,3,328.12,388.83
2010,4,340.72,401.86
2010,5,340.72,401.86
2010,6,340.72,401.86
2010,7,336.09,396.03
2010,8,336.09,396.03
2010,9,336.09,396.03
2010,10,334.78,393.32
2010,11,334.78,393.32
2010,12,334.78,393.32
2011,1,355.72,412.7
2011,2,355.72,412.7
2011,3,355.72,412.7
2011,4,369.68,421.55
2011,5,369.68,421.55
2011,6,369.68,421.55
2011,7,363.85,413.22
2011,8,363.85,413.22
2011,9,363.85,413.22
2011,10,368.39,419
2011,11,368.39,419
2011,12,368.39,419
2012,1,372.83,418.62
2012,2,372.83,418.62
2012,3,372.83,418.62
2012,4,384.67,431.12
2012,5,384.67,431.12
2012,6,384.67,431.12
2012,7,374.77,417.17
2012,8,374.77,417.17
2012,9,374.77,417.17
2012,10,374.23,417.76
2012,11,374.23,417.76
2012,12,374.23,417.76
2013,1,377.93,419.41
2013,2,377.93,419.41
2013,3,377.93,419.41
2013,4,378,417.23
2013,5,378,417.23
2013,6,378,417.23
2013,7,382,420.06
2013,8,382,420.06
2013,9,382,420.06
2013,10,382.04,421.29
2013,11,382.04,421.29
2013,12,382.04,421.29
2014,1,382.15,418.22
2014,2,382.15,418.22
2014,3,382.15,418.22
2014,4,395.62,427.91
2014,5,395.62,427.91
2014,6,395.62,427.91
2014,7,391.7,423.18
2014,8,391.7,423.18
2014,9,391.7,423.18
2014,10,392.66,427.66
2014,11,392.66,427.66
2014,12,392.66,427.66
2015,1,388.32,425.23
2015,2,388.32,425.23
2015,3,388.32,425.23
2015,4,385.91,417.56
2015,5,385.91,417.56
2015,6,385.91,417.56
2015,7,371.72,401.15
2015,8,371.72,401.15
2015,9,371.72,401.15
2015,10,365.39,396.11
2015,11,365.39,396.11
2015,12,365.39,396.11
2016,1,361.2,391.31
2016,2,361.2,391.31
2016,3,361.2,391.31
2016,4,350.66,375.49
2016,5,350.66,375.49
2016,6,350.66,375.49
2016,7,343.98,367.12
2016,8,343.98,367.12
2016,9,343.98,367.12
2016,10,346.72,369.22
2016,11,346.72,369.22
2016,12,346.72,369.22
2017,1,351.85,371.74
2017,2,351.85,371.74
2017,3,351.85,371.74
2017,4,355.91,374
2017,5,355.91,374
2017,6,355.91,374
2017,7,335.83,351.5
2017,8,335.83,351.5
2017,9,335.83,351.5
2017,10,347.33,362.2
2017,11,347.33,362.2
2017,12,347.33,362.2
2018,1,346.49,358.14
2018,2,346.49,358.14
2018,3,346.49,358.14
2018,4,349.17,357.08
2018,5,349.17,357.08
2018,6,349.17,357.08
2018,7,343.28,350.06
2018,8,343.28,350.06
2018,9,343.28,350.06
2018,10,359.3,366.6
2018,11,359.3,366.6
2018,12,359.3,366.6
2019,1,350.12,356.05
2019,2,350.12,356.05
2019,3,350.12,356.05
2019,4,357.1,358.85
2019,5,357.1,358.85
2019,6,357.1,358.85
2019,7,345.09,345.83
2019,8,345.09,345.83
2019,9,345.09,345.83
2019,10,356.51,356.51
2019,11,356.51,356.51
2019,12,356.51,356.51
2020,1,#N/A,#N/A
2020,2,#N/A,#N/A
2020,3,#N/A,#N/A
2020,4,#N/A,#N/A
2020,5,#N/A,#N/A
