Crude Oil Price,Price Year-Month,Accident Year,Accident Year-Month,Accident Date,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
72.87,2010-01,2010,2010-01,2010-01-11,"NUSTAR LOGISTICS, L.P.","46P HOUSTON 12"" REFINDED PRODUCTS PL",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",Not Available,TAFT,SAN PATRICO,TX,28.055290000000003,-97.32797,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3.0,0.0,3.0,0.0,NO,NO,YES,1/11/2010 14:55,1/11/2010 22:08,0.0,30000.0,415.0,10000.0,7971.0,308883.0,0.0,357269.0
72.87,2010-01,2010,2010-01,2010-01-11,JAYHAWK PIPELINE LLC,CHASE KAW TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,Not Available,Not Available,CHASE,RICE,KS,38.34519,-98.31356,CORROSION,INTERNAL,2.0,0.0,1.0,1.0,NO,NO,YES,1/11/2010 15:10,1/13/2010 14:00,0.0,2000.0,150.0,0.0,3000.0,6500.0,500.0,12150.0
72.87,2010-01,2010,2010-01,2010-01-11,CONOCOPHILLIPS,TANK 824,ONSHORE,TANK,CRUDE OIL,Not Available,Not Available,CUSHING,PAYNE,OK,35.94466,-96.75426999999999,NATURAL FORCE DAMAGE,TEMPERATURE,53.0,0.0,51.0,2.0,NO,NO,NO,Not Available,Not Available,0.0,5000.0,150.0,0.0,0.0,100.0,32600.0,37850.0
72.87,2010-01,2010,2010-01,2010-01-12,"PLAINS MARKETING, L.P.",CUSHING TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,Not Available,Not Available,CUSHING,LINCOLN,OK,35.937490000000004,-96.74417,CORROSION,INTERNAL,21.0,0.0,21.0,0.0,NO,NO,YES,1/12/2010 10:25,1/14/2010 10:25,0.0,6826.0,150.0,0.0,13357.0,0.0,0.0,20333.0
72.87,2010-01,2010,2010-01,2010-01-12,"CCPS TRANSPORTATION, LLC","CCPS TRANSPORTATION, RUSH STATION",ONSHORE,ABOVEGROUND,CRUDE OIL,Not Available,Not Available,RUSHVILLE,SCHUYLER,IL,40.16833,-90.56593000000001,INCORRECT OPERATION,INCORRECT INSTALLATION,0.19,0.0,0.19,0.0,NO,NO,NO,Not Available,Not Available,0.0,2500.0,0.0,0.0,30000.0,0.0,0.0,32500.0
72.87,2010-01,2010,2010-01,2010-01-12,"MAGELLAN AMMONIA PIPELINE, L.P.","MAGELLAN AMMONIA PIPELINE, LP",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,Not Available,PAWNEE,PAWNEE,OK,36.39836,-96.74622,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,445.0,5.0,0.0,445.0,NO,NO,YES,1/12/2010 19:08,1/20/2010 14:34,19.0,175000.0,34000.0,68000.0,324000.0,1901615.0,15000.0,2517615.0
72.87,2010-01,2010,2010-01,2010-01-13,"SHELL PIPELINE CO., L.P.",SORRENTO DOME,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,PROPYLENE,SORRENTO,ASCENSION,LA,30.1724,-90.78200000000001,NATURAL FORCE DAMAGE,TEMPERATURE,3.49,0.0,0.0,3.49,NO,NO,NO,Not Available,Not Available,0.0,0.0,254.0,0.0,0.0,0.0,0.0,254.0
72.87,2010-01,2010,2010-01,2010-01-13,"KINDER MORGAN LIQUID TERMINALS, LLC",Not Available,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),Not Available,GALENA PARK,HARRIS,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,6.0,0.0,6.0,0.0,NO,NO,NO,Not Available,Not Available,0.0,0.0,504.0,0.0,0.0,30000.0,0.0,30504.0
72.87,2010-01,2010,2010-01,2010-01-13,"KOCH PIPELINE COMPANY, L.P.",PARK RAPIDS PUMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,Not Available,Not Available,MENAHGA,HUBBARD,MN,46.8197,-95.1489,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.48,0.0,0.0,0.48,NO,NO,NO,Not Available,Not Available,0.0,0.0,34.0,0.0,0.0,64645.0,2000.0,66679.0
72.87,2010-01,2010,2010-01,2010-01-14,KIANTONE PIPELINE CORP,GOWANDA BOOSTER STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,Not Available,Not Available,GOWANDA,CATTARAUGUS,NY,42.382290000000005,-78.91763,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.0,0.2,0.04,NO,NO,NO,Not Available,Not Available,0.0,5000.0,17.0,0.0,50000.0,20000.0,0.0,75017.0
72.87,2010-01,2010,2010-01,2010-01-15,PACIFIC PIPELINE SYSTEM LLC,LINE 63 SOUTH PACIFIC PIPELINES BP REFINERY TANK F,ONSHORE,ABOVEGROUND,CRUDE OIL,Not Available,Not Available,CARSON,LOS ANGELES,CA,33.809329999999996,-118.25413,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,1.0,0.0,1.0,0.0,NO,NO,NO,Not Available,Not Available,0.0,0.0,75000.0,0.0,1000000.0,3500000.0,0.0,4575000.0
72.87,2010-01,2010,2010-01,2010-01-15,JAYHAWK PIPELINE LLC,Not Available,ONSHORE,UNDERGROUND,CRUDE OIL,Not Available,Not Available,ELLIS,ELLIS,KS,38.81386,-99.42139,CORROSION,INTERNAL,5.0,0.0,2.0,3.0,NO,NO,YES,1/15/2010 15:10,1/16/2010 11:00,0.0,0.0,180.0,700.0,0.0,1500.0,1500.0,3880.0
72.87,2010-01,2010,2010-01,2010-01-18,"TE PRODUCTS PIPELINE COMPANY, LLC",PRINCETON TERMINAL,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),Not Available,PRINCETON,GIBSON,IN,38.32113,-87.34782,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,2.0,0.0,0.0,2.0,NO,NO,NO,Not Available,Not Available,0.0,1000.0,100.0,0.0,0.0,0.0,0.0,1100.0
72.87,2010-01,2010,2010-01,2010-01-19,"MAGELLAN PIPELINE COMPANY, LP",AURORA PUMP STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OTHER,JET FUEL,AURORA,ADAMS COUNTY,CO,39.0081,-104.01317,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.79,0.0,0.9,0.89,NO,NO,NO,Not Available,Not Available,0.0,3500.0,500.0,0.0,10000.0,12000.0,0.0,26000.0
72.87,2010-01,2010,2010-01,2010-01-19,EXPLORER PIPELINE CO,WOOD RIVER TANK FARM,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),Not Available,HARTFORD,MADISON,IL,38.82204,-90.07892,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3.0,0.0,2.0,1.0,NO,NO,YES,1/19/2010 20:01,1/20/2010 9:30,0.0,41000.0,85.0,0.0,5100.0,0.0,0.0,46185.0
72.87,2010-01,2010,2010-01,2010-01-21,PACIFIC PIPELINE SYSTEM LLC,NORTH COLES LEVEE,ONSHORE,TANK,CRUDE OIL,Not Available,Not Available,TAFT,KERN,CA,35.27901,-119.31192,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2.0,0.0,2.0,0.0,NO,NO,NO,Not Available,Not Available,0.0,1200.0,150.0,0.0,2000.0,4457.0,0.0,7807.0
72.87,2010-01,2010,2010-01,2010-01-21,PLANTATION PIPE LINE CO,FLUKER STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),Not Available,GREENSBURG,ST. HELENA,LA,30.78251,-90.75851,NATURAL FORCE DAMAGE,TEMPERATURE,6.76,0.0,6.76,0.0,NO,NO,YES,1/21/2010 12:30,1/21/2010 20:35,0.0,85000.0,570.0,0.0,105000.0,10000.0,0.0,200570.0
72.87,2010-01,2010,2010-01,2010-01-21,PLANTATION PIPE LINE CO,KOLA PUMPING STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),Not Available,COLLINS,COVINGTON,MS,31.632509999999996,-89.52266,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.71,0.0,0.71,0.0,NO,NO,Not Available,Not Available,Not Available,0.0,2130.0,0.0,0.0,670.0,0.0,0.0,2800.0
72.87,2010-01,2010,2010-01,2010-01-22,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,EL DORADO STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",Not Available,EL DORADO,BUTLER COUNTY,KS,37.803255,-96.873398,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,1.2,0.0,1.2,0.0,NO,NO,NO,Not Available,Not Available,0.0,0.0,0.0,0.0,3623.0,3263.0,1981.0,8867.0
72.87,2010-01,2010,2010-01,2010-01-24,"TE PRODUCTS PIPELINE COMPANY, LLC",PRINCETON TERMINAL,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),Not Available,PRINCETON,GIBSON,IN,38.32113,-87.34782,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1.0,0.0,0.0,1.0,NO,NO,NO,Not Available,Not Available,0.0,2000.0,100.0,0.0,0.0,0.0,0.0,2100.0
72.87,2010-01,2010,2010-01,2010-01-25,LOOP INC,LOOP LLC,ONSHORE,ABOVEGROUND,CRUDE OIL,Not Available,Not Available,CUT OFF,LAFOURCHE,LA,29.47,-90.25444,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,202.0,0.0,202.0,0.0,NO,NO,YES,1/25/2010 23:42,1/27/2010 14:00,0.0,30000.0,0.0,0.0,600000.0,37000.0,0.0,667000.0
72.87,2010-01,2010,2010-01,2010-01-27,"SHELL PIPELINE CO., L.P.",PORT ARTHUR TK FM,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",Not Available,PORT ARTHUR,JEFFERSON,TX,29.8916,-93.9897,ALL OTHER CAUSES,MISCELLANEOUS,0.6,0.0,0.0,0.6,NO,NO,NO,Not Available,Not Available,0.0,50000.0,65.0,0.0,10000.0,0.0,0.0,60065.0
72.87,2010-01,2010,2010-01,2010-01-28,BELLE FOURCHE PIPELINE CO,DICKINSON GATHERING,ONSHORE,ABOVEGROUND,CRUDE OIL,Not Available,Not Available,DICKINSON,STARK,ND,46.851256,-102.770368,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,20.0,0.0,13.0,7.0,NO,NO,YES,1/28/2010 11:05,1/28/2010 18:00,0.0,500.0,420.0,0.0,750.0,9500.0,0.0,11170.0
72.74,2010-02,2010,2010-02,2010-02-02,SEMGROUP LP,FLEMING STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,Not Available,Not Available,HARPER,HARPER,KS,37.355914,-98.20694499999999,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,15.0,0.0,10.0,5.0,NO,NO,Not Available,Not Available,Not Available,0.0,3000.0,500.0,0.0,2000.0,1000.0,0.0,6500.0
72.74,2010-02,2010,2010-02,2010-02-04,WEST SHORE PIPELINE CO,MITCHELL FIELD TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",Not Available,MILWAUKEE,MILWAUKEE,WI,42.9289,-87.8884,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.0,0.19,0.05,NO,NO,Not Available,Not Available,Not Available,0.0,2500.0,35.0,0.0,0.0,1986.0,0.0,4521.0
72.74,2010-02,2010,2010-02,2010-02-06,"MAGELLAN PIPELINE COMPANY, LP",EL DORADO WEST STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),Not Available,EL DORADO,BUTLER,KS,37.80218,-96.90935,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3.0,0.0,1.67,1.33,NO,NO,Not Available,Not Available,Not Available,0.0,100.0,200.0,0.0,3000.0,1500.0,0.0,4800.0
72.74,2010-02,2010,2010-02,2010-02-08,"SHELL PIPELINE CO., L.P.",ERATH - EAST HOUSTON CRUDE,ONSHORE,UNDERGROUND,CRUDE OIL,Not Available,Not Available,LAKE ARTHUR,JEFFERSON DAVIS,LA,30.0795,-92.7465,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",5.0,0.0,0.0,5.0,NO,NO,YES,2/8/2010 12:21,2/10/2010 10:23,0.0,230000.0,400.0,30000.0,120000.0,0.0,0.0,380400.0
72.74,2010-02,2010,2010-02,2010-02-09,PLANTATION PIPE LINE CO,BATON ROUGE TANK FARM,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),Not Available,BATON ROUGE,EAST BATON ROUGE,LA,30.54741,-90.16677,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.64,0.0,0.64,0.0,NO,NO,Not Available,Not Available,Not Available,0.0,500.0,0.0,0.0,450.0,0.0,0.0,950.0
72.74,2010-02,2010,2010-02,2010-02-09,"BUCKEYE PARTNERS, LP",CLERMONT TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",Not Available,LINCOLN,HENDRICKS,IN,39.8106,-86.3342,NATURAL FORCE DAMAGE,TEMPERATURE,0.71,0.0,0.71,0.0,NO,NO,NO,Not Available,Not Available,0.0,0.0,0.0,0.0,2314.0,3063.0,0.0,5377.0
72.74,2010-02,2010,2010-02,2010-02-16,"MAGELLAN PIPELINE COMPANY, LP",WAYNE JUNCTION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",Not Available,WAYNE,DUPAGE,IL,41.94352,-88.23353,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.12,0.0,0.12,0.0,NO,NO,NO,Not Available,Not Available,0.0,25900.0,15.0,0.0,1500.0,1900.0,1200.0,30515.0
72.74,2010-02,2010,2010-02,2010-02-17,"MAGELLAN PIPELINE COMPANY, LP",KANSAS CITY PUMP STATION,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",Not Available,KANSAS CITY,WYANDOTTE,KS,39.13776,-94.5968,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,0.0,0.12,0.0,NO,NO,NO,Not Available,Not Available,0.0,1000.0,14.0,0.0,0.0,500.0,0.0,1514.0
72.74,2010-02,2010,2010-02,2010-02-19,"BUCKEYE PARTNERS, LP",LINDEN STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",Not Available,LINDEN,UNION,NJ,40.6086,-74.2399,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.95,0.0,0.95,0.0,NO,NO,YES,2/19/2010 6:52,2/19/2010 13:52,0.0,0.0,0.0,0.0,4400.0,12700.0,0.0,17100.0
72.74,2010-02,2010,2010-02,2010-02-20,SUNOCO PIPELINE L.P.,THOMAS STATION,ONSHORE,UNDERGROUND,CRUDE OIL,Not Available,Not Available,LONGVIEW,GREGG,TX,32.4785,-94.8679,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,8.0,0.0,6.0,2.0,NO,NO,YES,2/20/2010 6:35,2/20/2010 23:30,0.0,3449.0,152.0,0.0,5634.0,84278.0,0.0,93513.0
72.74,2010-02,2010,2010-02,2010-02-21,"PLAINS PIPELINE, L.P.",D-BOOSTER 10-INCH,ONSHORE,UNDERGROUND,CRUDE OIL,Not Available,Not Available,MCCAMEY,UPTON,TX,31.13284,-101.18974,CORROSION,INTERNAL,9.0,0.0,9.0,0.0,NO,NO,NO,Not Available,Not Available,0.0,700.0,585.0,0.0,600.0,11000.0,4600.0,17485.0
72.74,2010-02,2010,2010-02,2010-02-22,LDH ENERGY PIPELINE L.P.,W. TX. NGL,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),Not Available,BIG SPRING,HOWARD,TX,32.224709999999995,-101.4044,CORROSION,EXTERNAL,1.0,116.0,0.0,1.0,NO,NO,NO,Not Available,Not Available,0.0,0.0,2360.0,0.0,0.0,0.0,24500.0,26860.0
72.74,2010-02,2010,2010-02,2010-02-22,CONOCOPHILLIPS,NORTH SPOKANE,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",Not Available,SPOKANE,SPOKANE,WA,47.71696,-117.35583000000001,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.71,0.0,0.0,0.71,NO,NO,NO,Not Available,Not Available,0.0,500.0,90.0,0.0,2200.0,6000.0,0.0,8790.0
72.74,2010-02,2010,2010-02,2010-02-23,ONEOK NGL PIPELINE LP,HEARTLAND COUNCIL BLUFFS,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),Not Available,COUNCIL BLUFFS,POTTAWATAMIE,IA,41.21235,-95.8301,INCORRECT OPERATION,INCORRECT VALVE POSITION,28.0,0.0,0.0,28.0,NO,NO,NO,Not Available,Not Available,0.0,0.0,2286.0,0.0,0.0,126721.0,0.0,129007.0
72.74,2010-02,2010,2010-02,2010-02-25,ONEOK NGL PIPELINE LP,"10"" PIPELINE FROM HWY 64 JCT. TO MEDFORD PLANT",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,RAW FEED,POND CREEK,GRANT,OK,36.6659,-97.8846,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,13718.0,0.0,0.0,13718.0,NO,NO,YES,2/25/2010 6:45,3/22/2010 4:52,5.0,966352.0,622934.0,7500.0,3000.0,0.0,0.0,1599786.0
72.74,2010-02,2010,2010-02,2010-02-25,COLONIAL PIPELINE CO,Not Available,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",Not Available,Not Available,Not Available,NC,35.483540000000005,-80.7357,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.55,0.0,0.55,0.0,NO,NO,Not Available,Not Available,Not Available,0.0,15200.0,50.0,0.0,0.0,0.0,700.0,15950.0
75.77,2010-03,2010,2010-03,2010-03-01,MID - VALLEY PIPELINE CO,LONGVIEW STATION,ONSHORE,UNDERGROUND,CRUDE OIL,Not Available,Not Available,LONGVIEW,GREGG,TX,32.48325,-94.83034,CORROSION,INTERNAL,198.0,0.0,196.0,2.0,NO,NO,YES,3/1/2010 8:12,3/1/2010 14:00,0.0,1134.0,150.0,0.0,11470.0,3264.0,0.0,16018.0
