Date,Wheat Value,Soybean Value
4/28/2000,2.5225,5.367
5/1/2000,2.6475,5.6775
5/2/2000,2.6575,5.655
5/3/2000,2.72,5.72
5/4/2000,2.765,5.7225
5/5/2000,2.7275,5.66
5/8/2000,2.6875,5.59
5/9/2000,2.685,5.56
5/10/2000,2.75,5.7
5/11/2000,2.82,5.685
5/12/2000,2.8425,5.6575
5/15/2000,2.8225,5.4975
5/16/2000,2.8125,5.4375
5/17/2000,2.77,5.4125
5/18/2000,2.72,5.4775
5/19/2000,2.7625,5.545
5/22/2000,2.8025,5.53
5/23/2000,2.8125,5.4875
5/24/2000,2.795,5.4225
5/25/2000,2.795,5.2725
5/26/2000,2.8075,5.3425
5/30/2000,2.7425,5.17
5/31/2000,2.7475,5.175
6/1/2000,2.705,5.225
6/2/2000,2.7125,5.3375
6/5/2000,2.66,5.2925
6/6/2000,2.67,5.305
6/7/2000,2.6425,5.225
6/8/2000,2.665,5.215
6/9/2000,2.6975,5.2075
6/12/2000,2.6575,5.105
6/13/2000,2.6475,5.105
6/14/2000,2.6125,5.1075
6/15/2000,2.6275,5.1
6/16/2000,2.63,5.0475
6/19/2000,2.6875,5.05
6/20/2000,2.7375,5.01
6/21/2000,2.77,5.065
6/22/2000,2.775,5.0175
6/23/2000,2.7225,4.98
6/26/2000,2.74,4.995
6/27/2000,2.7605,4.965
6/28/2000,2.766,4.889
6/29/2000,2.7955,4.9195
6/30/2000,2.689,4.817
7/3/2000,2.575,4.725
7/5/2000,2.5875,4.7475
7/6/2000,2.55,4.6925
7/7/2000,2.5475,4.7325
7/10/2000,2.57,4.735
7/11/2000,2.5625,4.695
7/12/2000,2.525,4.7225
7/13/2000,2.545,4.665
7/14/2000,2.4875,4.62
7/17/2000,2.4425,4.575
7/18/2000,2.4125,4.555
7/19/2000,2.445,4.525
7/20/2000,2.4675,4.56
7/21/2000,2.4725,4.6025
7/24/2000,2.455,4.57
7/25/2000,2.455,4.5275
7/26/2000,2.4425,4.5055
7/27/2000,2.4575,4.528
7/28/2000,2.48,4.4785
7/31/2000,2.4625,4.448
8/1/2000,2.45,4.415
8/2/2000,2.4625,4.47
8/3/2000,2.4225,4.4225
8/4/2000,2.37,4.4075
8/7/2000,2.335,4.3725
8/8/2000,2.365,4.4425
8/9/2000,2.355,4.43
8/10/2000,2.3575,4.475
8/11/2000,2.3675,4.525
8/14/2000,2.385,4.56
8/15/2000,2.405,4.575
8/16/2000,2.435,4.65
8/17/2000,2.395,4.6
8/18/2000,2.3875,4.5825
8/21/2000,2.3625,4.62
8/22/2000,2.3475,4.585
8/23/2000,2.3375,4.595
8/24/2000,2.4,4.6175
8/25/2000,2.415,4.6175
8/28/2000,2.4625,4.7225
8/29/2000,2.5765,4.8865
8/30/2000,2.5705,4.8805
8/31/2000,2.6475,5.0295
9/1/2000,2.675,5.035
9/5/2000,2.695,5.1275
9/6/2000,2.64,4.9525
9/7/2000,2.655,4.9
9/8/2000,2.6625,5.05
9/11/2000,2.655,5.06
9/12/2000,2.6075,5.055
9/13/2000,2.57,4.995
9/14/2000,2.5425,4.9175
9/15/2000,2.5225,4.8325
9/18/2000,2.5625,4.885
9/19/2000,2.4925,4.8375
9/20/2000,2.4975,4.875
9/21/2000,2.475,4.9175
9/22/2000,2.5075,4.96
9/25/2000,2.535,4.935
9/26/2000,2.545,4.9375
9/27/2000,2.585,4.9575
9/28/2000,2.5925,4.9825
9/29/2000,2.65,4.905
10/2/2000,2.67,4.895
10/3/2000,2.6875,4.89
10/4/2000,2.6725,4.8625
10/5/2000,2.6725,4.85
10/6/2000,2.68,4.85
10/9/2000,2.6725,4.83
10/10/2000,2.7525,4.8575
10/11/2000,2.7675,4.78
10/12/2000,2.735,4.7425
10/13/2000,2.6725,4.66
10/16/2000,2.7075,4.65
10/17/2000,2.685,4.6825
10/18/2000,2.6375,4.6775
10/19/2000,2.6025,4.715
10/20/2000,2.6125,4.6875
10/23/2000,2.5675,4.63
10/24/2000,2.5625,4.6775
10/25/2000,2.555,4.67
10/26/2000,2.5625,4.631
10/27/2000,2.59,4.605
10/30/2000,2.555,4.6245
10/31/2000,2.5475,4.6815
11/1/2000,2.5475,4.735
11/2/2000,2.5975,4.8325
11/3/2000,2.64,4.8425
11/6/2000,2.6275,4.8475
11/7/2000,2.6225,4.8575
11/8/2000,2.6525,4.84
11/9/2000,2.5825,4.7675
11/10/2000,2.5675,4.725
11/13/2000,2.5775,4.7625
11/14/2000,2.5575,4.7775
11/15/2000,2.545,4.815
11/16/2000,2.545,4.775
11/17/2000,2.56,4.8775
11/20/2000,2.56,4.9075
11/21/2000,2.5475,4.89
11/22/2000,2.575,4.91
11/24/2000,2.605,5.0075
11/27/2000,2.609,4.9725
11/28/2000,2.626,5.0075
11/29/2000,2.6245,4.9975
11/30/2000,2.702,5.06
12/1/2000,2.7775,5.08
12/4/2000,2.795,5.045
12/5/2000,2.7725,5.0075
12/6/2000,2.7675,5.07
12/7/2000,2.705,5.03
12/8/2000,2.735,5.115
12/11/2000,2.7075,5.11
12/12/2000,2.705,5.0725
12/13/2000,2.7025,5.065
12/14/2000,2.68,5.0425
12/15/2000,2.6525,5.0725
12/18/2000,2.6875,5.0975
12/19/2000,2.725,5.1175
12/20/2000,2.71,5.08
12/21/2000,2.7275,5.1
12/22/2000,2.7575,5.1025
12/26/2000,2.745,5.066
12/27/2000,2.7275,5.026
12/28/2000,2.7175,5.0395
12/29/2000,2.795,5.077
1/2/2001,2.7625,5.045
1/3/2001,2.8325,5.0675
1/4/2001,2.8425,5.005
1/5/2001,2.83,4.9725
1/8/2001,2.83,4.99
1/9/2001,2.85,5.0275
1/10/2001,2.89,4.9725
1/11/2001,2.8975,4.845
1/12/2001,2.89,4.825
1/16/2001,2.8525,4.775
1/17/2001,2.825,4.7275
1/18/2001,2.845,4.735
1/19/2001,2.855,4.7075
1/22/2001,2.8525,4.7675
1/23/2001,2.8575,4.6825
1/24/2001,2.855,4.6975
1/25/2001,2.79,4.66
1/26/2001,2.7625,4.6025
1/29/2001,2.6925,4.5975
1/30/2001,2.705,4.61
1/31/2001,2.73,4.595
2/1/2001,2.7025,4.625
2/2/2001,2.72,4.685
2/5/2001,2.685,4.6225
2/6/2001,2.67,4.6425
2/7/2001,2.67,4.635
2/8/2001,2.6675,4.5225
2/9/2001,2.6625,4.5625
2/12/2001,2.6175,4.5325
2/13/2001,2.63,4.5
2/14/2001,2.675,4.52
2/15/2001,2.675,4.5025
2/16/2001,2.6425,4.54
2/20/2001,2.6625,4.54
2/21/2001,2.6225,4.575
2/22/2001,2.585,4.55
2/23/2001,2.616,4.48
2/26/2001,2.632,4.4845
2/27/2001,2.6455,4.511
2/28/2001,2.744,4.553
3/1/2001,2.7725,4.6
3/2/2001,2.8025,4.58
3/5/2001,2.8375,4.6
3/6/2001,2.825,4.67
3/7/2001,2.8,4.63
3/8/2001,2.8,4.61
3/9/2001,2.795,4.62
3/12/2001,2.855,4.61
3/13/2001,2.855,4.5675
3/14/2001,2.8375,4.44
3/15/2001,2.7375,4.455
3/16/2001,2.705,4.43
3/19/2001,2.6875,4.435
3/20/2001,2.7075,4.4675
3/21/2001,2.665,4.4325
3/22/2001,2.5975,4.3425
3/23/2001,2.6225,4.365
3/26/2001,2.67,4.42
3/27/2001,2.67,4.4525
3/28/2001,2.6425,4.4175
3/29/2001,2.65,4.365
3/30/2001,2.55,4.285
4/2/2001,2.59,4.3275
4/3/2001,2.6175,4.3025
4/4/2001,2.6525,4.3725
4/5/2001,2.65,4.375
4/6/2001,2.62,4.36
4/9/2001,2.6,4.4125
4/10/2001,2.5725,4.3275
4/11/2001,2.6075,4.3725
4/12/2001,2.6675,4.3525
4/16/2001,2.695,4.3275
4/17/2001,2.6575,4.295
4/18/2001,2.6825,4.34
4/19/2001,2.675,4.2925
4/20/2001,2.67,4.2925
4/23/2001,2.645,4.2325
4/24/2001,2.6375,4.26
4/25/2001,2.7085,4.221
4/26/2001,2.7435,4.2985
4/27/2001,2.7165,4.2575
4/30/2001,2.8115,4.3725
5/1/2001,2.82,4.3725
5/2/2001,2.785,4.4025
5/3/2001,2.735,4.3775
5/4/2001,2.7375,4.4225
5/7/2001,2.6925,4.3775
5/8/2001,2.6675,4.405
5/9/2001,2.6575,4.395
5/10/2001,2.685,4.35
5/11/2001,2.7125,4.3575
5/14/2001,2.785,4.4325
5/15/2001,2.775,4.44
5/16/2001,2.7575,4.475
5/17/2001,2.7575,4.51
5/18/2001,2.7175,4.495
5/21/2001,2.63,4.4325
5/22/2001,2.5975,4.4375
5/23/2001,2.6,4.455
5/24/2001,2.6175,4.4975
5/25/2001,2.5975,4.4725
5/29/2001,2.6475,4.3925
5/30/2001,2.64,4.375
5/31/2001,2.67,4.51
6/1/2001,2.7075,4.55
6/4/2001,2.635,4.53
6/5/2001,2.605,4.5325
6/6/2001,2.615,4.615
6/7/2001,2.6425,4.615
6/8/2001,2.64,4.665
6/11/2001,2.6175,4.715
6/12/2001,2.6325,4.7375
6/13/2001,2.62,4.74
6/14/2001,2.5925,4.7075
6/15/2001,2.5575,4.585
6/18/2001,2.6275,4.64
6/19/2001,2.615,4.6975
6/20/2001,2.56,4.66
6/21/2001,2.5525,4.6025
6/22/2001,2.51,4.545
6/25/2001,2.4575,4.5075
6/26/2001,2.5045,4.5555
6/27/2001,2.518,4.591
6/28/2001,2.498,4.5845
6/29/2001,2.5575,4.759
7/2/2001,2.61,4.8275
7/3/2001,2.635,4.835
7/5/2001,2.6675,4.88
7/6/2001,2.685,4.8825
7/9/2001,2.68,4.9675
7/10/2001,2.71,5.03
7/11/2001,2.7275,5.105
7/12/2001,2.8925,5.27
7/13/2001,2.865,5.265
7/16/2001,2.82,5.11
7/17/2001,2.9,5.28
7/18/2001,2.8875,5.1375
7/19/2001,2.89,5.13
7/20/2001,2.8325,4.96
7/23/2001,2.835,5.0375
7/24/2001,2.825,5.0375
7/25/2001,2.825,5.1075
7/26/2001,2.81,5.097
7/27/2001,2.8025,5.151
7/30/2001,2.77,5.04
7/31/2001,2.785,5.1235
8/1/2001,2.745,5.075
8/2/2001,2.695,4.945
8/3/2001,2.6475,4.9225
8/6/2001,2.65,4.99
8/7/2001,2.67,5.0675
8/8/2001,2.685,5.105
8/9/2001,2.71,5.1025
8/10/2001,2.7025,5.16
8/13/2001,2.715,5.2225
8/14/2001,2.6875,5.1075
8/15/2001,2.665,5.175
8/16/2001,2.67,5.0275
8/17/2001,2.6725,5.0425
8/20/2001,2.6625,4.8975
8/21/2001,2.68,4.9175
8/22/2001,2.7025,4.875
8/23/2001,2.7725,4.8175
8/24/2001,2.7425,4.7825
8/27/2001,2.735,4.7925
8/28/2001,2.7245,4.764
8/29/2001,2.802,4.826
8/30/2001,2.8005,4.78
8/31/2001,2.868,4.847
9/4/2001,2.875,4.8425
9/5/2001,2.855,4.7825
9/6/2001,2.8125,4.7025
9/7/2001,2.8025,4.6975
9/10/2001,2.8075,4.7
9/13/2001,2.82,4.82
9/14/2001,2.7225,4.74
9/17/2001,2.745,4.8
9/18/2001,2.675,4.75
9/19/2001,2.6275,4.695
9/20/2001,2.6575,4.735
9/21/2001,2.66,4.6975
9/24/2001,2.6675,4.68
9/25/2001,2.7075,4.635
9/26/2001,2.755,4.65
9/27/2001,2.745,4.6175
9/28/2001,2.7075,4.5125
10/1/2001,2.6625,4.52
10/2/2001,2.635,4.53
10/3/2001,2.695,4.52
10/4/2001,2.7275,4.51
10/5/2001,2.7325,4.5225
10/8/2001,2.7175,4.54
10/9/2001,2.7425,4.515
10/10/2001,2.79,4.4825
10/11/2001,2.7925,4.4775
10/12/2001,2.7625,4.355
10/15/2001,2.735,4.2925
10/16/2001,2.7775,4.305
10/17/2001,2.8475,4.34
10/18/2001,2.83,4.31
10/19/2001,2.87,4.2475
10/22/2001,2.82,4.2075
10/23/2001,2.855,4.2075
10/24/2001,2.8375,4.245
10/25/2001,2.89,4.2825
10/26/2001,2.95,4.2805
10/29/2001,2.9125,4.296
10/30/2001,2.955,4.3685
10/31/2001,2.9325,4.351
11/1/2001,2.8875,4.415
11/2/2001,2.855,4.39
11/5/2001,2.8425,4.4125
11/6/2001,2.855,4.36
11/7/2001,2.87,4.4125
11/8/2001,2.8375,4.3775
11/9/2001,2.86,4.445
11/12/2001,2.83,4.4725
11/13/2001,2.78,4.4525
11/14/2001,2.8075,4.4725
11/15/2001,2.8025,4.4675
11/16/2001,2.8925,4.525
11/19/2001,2.8925,4.5225
11/20/2001,2.8675,4.485
11/21/2001,2.87,4.5
11/23/2001,2.89,4.5125
11/26/2001,2.77,4.4125
11/27/2001,2.8085,4.44
11/28/2001,2.775,4.355
11/29/2001,2.7835,4.365
11/30/2001,2.879,4.445
12/3/2001,2.8725,4.4725
12/4/2001,2.8375,4.4475
12/5/2001,2.8525,4.425
12/6/2001,2.8175,4.415
12/7/2001,2.84,4.4525
12/10/2001,2.835,4.43
12/11/2001,2.8675,4.375
12/12/2001,2.86,4.325
12/13/2001,2.825,4.3375
12/14/2001,2.8675,4.3625
12/17/2001,2.8625,4.3675
12/18/2001,2.8575,4.32
12/19/2001,2.93,4.35
12/20/2001,2.875,4.355
12/21/2001,2.8875,4.355
12/26/2001,2.845,4.2825
12/27/2001,2.91,4.278
12/28/2001,2.9025,4.2515
12/31/2001,2.89,4.22
1/2/2002,2.92,4.1825
1/3/2002,3,4.24
1/4/2002,3.07,4.245
1/7/2002,3.0475,4.3075
1/8/2002,3.05,4.35
1/9/2002,3.0275,4.395
1/10/2002,3.035,4.325
1/11/2002,3.0825,4.43
1/14/2002,3.0675,4.4675
1/15/2002,3.02,4.46
1/16/2002,3.035,4.525
1/17/2002,3.0075,4.5075
1/18/2002,2.98,4.455
1/22/2002,2.9525,4.39
1/23/2002,2.97,4.335
1/24/2002,2.985,4.3725
1/25/2002,2.99,4.3075
1/28/2002,2.9125,4.31
1/29/2002,2.895,4.285
1/30/2002,2.8525,4.2775
1/31/2002,2.86,4.3025
2/1/2002,2.87,4.2675
2/4/2002,2.8075,4.34
2/5/2002,2.83,4.3275
2/6/2002,2.8025,4.28
2/7/2002,2.81,4.3125
2/8/2002,2.8175,4.29
2/11/2002,2.81,4.31
2/12/2002,2.8075,4.3625
2/13/2002,2.8225,4.395
2/14/2002,2.8075,4.3625
2/15/2002,2.7525,4.3725
2/19/2002,2.7775,4.3825
2/20/2002,2.8,4.45
2/21/2002,2.7875,4.44
2/22/2002,2.8025,4.4125
2/25/2002,2.7925,4.375
2/26/2002,2.7765,4.3845
2/27/2002,2.763,4.456
2/28/2002,2.7425,4.3935
3/1/2002,2.785,4.515
3/4/2002,2.785,4.51
3/5/2002,2.82,4.5725
3/6/2002,2.82,4.545
3/7/2002,2.7975,4.595
3/8/2002,2.7775,4.655
3/11/2002,2.74,4.6475
3/12/2002,2.7625,4.6325
3/13/2002,2.7625,4.6275
3/14/2002,2.7925,4.685
3/15/2002,2.8225,4.7225
3/18/2002,2.7775,4.605
3/19/2002,2.815,4.635
3/20/2002,2.7725,4.585
3/21/2002,2.82,4.5925
3/22/2002,2.8175,4.645
3/25/2002,2.8375,4.625
3/26/2002,2.8725,4.6775
3/27/2002,2.9425,4.7275
3/28/2002,2.85,4.7625
4/1/2002,2.8525,4.7575
4/2/2002,2.8325,4.7325
4/3/2002,2.835,4.6175
4/4/2002,2.805,4.59
4/5/2002,2.7725,4.655
4/8/2002,2.73,4.58
4/9/2002,2.7025,4.6125
4/10/2002,2.725,4.605
4/11/2002,2.7125,4.58
4/12/2002,2.725,4.61
4/15/2002,2.7175,4.565
4/16/2002,2.75,4.6325
4/17/2002,2.7575,4.7325
4/18/2002,2.6825,4.7025
4/19/2002,2.67,4.72
4/22/2002,2.6475,4.705
4/23/2002,2.645,4.74
4/24/2002,2.635,4.795
4/25/2002,2.6245,4.745
4/26/2002,2.6125,4.683
4/29/2002,2.614,4.64
4/30/2002,2.6735,4.6585
5/1/2002,2.7375,4.6425
5/2/2002,2.665,4.6375
5/3/2002,2.685,4.6125
5/6/2002,2.715,4.6275
5/7/2002,2.735,4.655
5/8/2002,2.7225,4.72
5/9/2002,2.7275,4.7625
5/10/2002,2.715,4.7075
5/13/2002,2.7875,4.775
5/14/2002,2.785,4.76
5/15/2002,2.835,4.82
5/16/2002,2.765,4.8475
5/17/2002,2.7375,4.875
5/20/2002,2.7675,4.9125
5/21/2002,2.73,4.905
5/22/2002,2.69,4.93
5/23/2002,2.715,4.915
5/24/2002,2.6925,4.91
5/28/2002,2.72,4.9725
5/29/2002,2.7625,4.9625
5/30/2002,2.765,5.0125
5/31/2002,2.8225,5.0875
6/3/2002,2.8675,5.055
6/4/2002,2.82,5.0975
6/5/2002,2.8325,5.1375
6/6/2002,2.805,5.1325
6/7/2002,2.75,5.075
6/10/2002,2.7825,5.005
6/11/2002,2.795,5.005
6/12/2002,2.835,4.9325
6/13/2002,2.955,5.0125
6/14/2002,2.9425,4.97
6/17/2002,2.8925,4.9875
6/18/2002,2.8925,4.93
6/19/2002,2.915,4.915
6/20/2002,2.9125,4.875
6/21/2002,2.8725,4.95
6/24/2002,2.9175,5.0525
6/25/2002,2.9275,5.025
6/26/2002,2.962,5.117
6/27/2002,3.11,5.178
6/28/2002,3.118,5.303
7/1/2002,3.225,5.4025
7/2/2002,3.205,5.31
7/3/2002,3.22,5.38
7/5/2002,3.2275,5.4575
7/8/2002,3.17,5.43
7/9/2002,3.205,5.53
7/10/2002,3.2475,5.5125
7/11/2002,3.2325,5.5475
7/12/2002,3.1825,5.5825
7/15/2002,3.2375,5.7
7/16/2002,3.34,5.7975
7/17/2002,3.35,5.7675
7/18/2002,3.3325,5.775
7/19/2002,3.3075,5.7525
7/22/2002,3.3975,5.9375
7/23/2002,3.3275,5.76
7/24/2002,3.36,5.84
7/25/2002,3.35,5.6775
7/26/2002,3.35,5.471
7/29/2002,3.265,5.2865
7/30/2002,3.26,5.367
7/31/2002,3.34,5.567
8/1/2002,3.3475,5.5875
8/2/2002,3.37,5.55
8/5/2002,3.38,5.49
8/6/2002,3.4175,5.515
8/7/2002,3.4625,5.5075
8/8/2002,3.385,5.455
8/9/2002,3.445,5.5475
8/12/2002,3.5175,5.8175
8/13/2002,3.5675,5.85
8/14/2002,3.57,5.94
8/15/2002,3.505,5.9225
8/16/2002,3.4775,5.8325
8/19/2002,3.4925,5.69
8/20/2002,3.3875,5.5175
8/21/2002,3.3825,5.5425
8/22/2002,3.4025,5.48
8/23/2002,3.4775,5.52
8/26/2002,3.535,5.5375
8/27/2002,3.549,5.591
8/28/2002,3.5955,5.528
8/29/2002,3.605,5.455
8/30/2002,3.6845,5.476
9/3/2002,3.7425,5.495
9/4/2002,3.8625,5.5275
9/5/2002,3.93,5.5725
9/6/2002,4.1,5.6
9/9/2002,4.22,5.71
9/10/2002,4.16,5.7725
9/11/2002,4.1425,5.8875
9/12/2002,4.06,5.7825
9/13/2002,3.9275,5.6525
9/16/2002,4.0075,5.725
9/17/2002,4.0525,5.73
9/18/2002,4.13,5.72
9/19/2002,3.955,5.64
9/20/2002,4,5.645
9/23/2002,3.895,5.5325
9/24/2002,4.035,5.6175
9/25/2002,3.91,5.5875
9/26/2002,4.0225,5.655
9/27/2002,4.025,5.6025
9/30/2002,3.965,5.4575
10/1/2002,3.965,5.42
10/2/2002,3.835,5.375
10/3/2002,3.7475,5.38
10/4/2002,3.7625,5.395
10/7/2002,3.8175,5.3975
10/8/2002,3.8175,5.3525
10/9/2002,3.7225,5.235
10/10/2002,3.6575,5.2475
10/11/2002,3.655,5.285
10/14/2002,3.6325,5.325
10/15/2002,3.9325,5.4775
10/16/2002,4.0825,5.47
10/17/2002,4.06,5.5075
10/18/2002,4.13,5.46
10/21/2002,4.0875,5.51
10/22/2002,4.0375,5.465
10/23/2002,3.965,5.545
10/24/2002,4.1175,5.575
10/25/2002,4.105,5.57
10/28/2002,4.155,5.4565
10/29/2002,4.1575,5.579
10/30/2002,4.0675,5.5775
10/31/2002,4.0225,5.6625
11/1/2002,4.135,5.6875
11/4/2002,4.0825,5.7275
11/5/2002,4.0075,5.7275
11/6/2002,3.945,5.75
11/7/2002,3.97,5.6825
11/8/2002,3.825,5.585
11/11/2002,3.835,5.6825
11/12/2002,3.745,5.625
11/13/2002,3.81,5.63
11/14/2002,3.9125,5.6725
11/15/2002,3.8975,5.6325
11/18/2002,3.8225,5.665
11/19/2002,3.85,5.7375
11/20/2002,3.745,5.7575
11/21/2002,3.7425,5.695
11/22/2002,3.7375,5.7175
11/25/2002,3.825,5.7225
11/26/2002,3.763,5.73
11/27/2002,3.8245,5.7725
11/29/2002,3.784,5.7875
12/2/2002,3.7625,5.785
12/3/2002,3.6025,5.645
12/4/2002,3.6175,5.6625
12/5/2002,3.53,5.62
12/6/2002,3.5775,5.6325
12/9/2002,3.575,5.62
12/10/2002,3.495,5.64
12/11/2002,3.5475,5.68
12/12/2002,3.545,5.76
12/13/2002,3.53,5.72
12/16/2002,3.55,5.615
12/17/2002,3.615,5.56
12/18/2002,3.56,5.6025
12/19/2002,3.5025,5.6375
12/20/2002,3.4275,5.72
12/23/2002,3.4575,5.7275
12/26/2002,3.3825,5.6505
12/27/2002,3.33,5.6845
12/30/2002,3.29,5.6365
12/31/2002,3.25,5.659
1/2/2003,3.2875,5.81
1/3/2003,3.305,5.7775
1/6/2003,3.315,5.77
1/7/2003,3.2775,5.7975
1/8/2003,3.37,5.82
1/9/2003,3.29,5.7975
1/10/2003,3.1925,5.5675
1/13/2003,3.1125,5.48
1/14/2003,3.1425,5.5
1/15/2003,3.1275,5.4975
1/16/2003,3.11,5.49
1/17/2003,3.1675,5.56
1/21/2003,3.1925,5.56
1/22/2003,3.145,5.6
1/23/2003,3.1175,5.615
1/24/2003,3.185,5.69
1/27/2003,3.105,5.6725
1/28/2003,3.17,5.7325
1/29/2003,3.13,5.6125
1/30/2003,3.15,5.685
1/31/2003,3.205,5.64
2/3/2003,3.235,5.68
2/4/2003,3.24,5.705
2/5/2003,3.24,5.63
2/6/2003,3.27,5.625
2/7/2003,3.31,5.5575
2/10/2003,3.3475,5.6475
2/11/2003,3.3,5.72
2/12/2003,3.255,5.6325
2/13/2003,3.265,5.7175
2/14/2003,3.3425,5.73
2/18/2003,3.355,5.74
2/19/2003,3.2775,5.7175
2/20/2003,3.32,5.685
2/21/2003,3.285,5.74
2/24/2003,3.215,5.7225
2/25/2003,3.206,5.759
2/26/2003,3.1985,5.7915
2/27/2003,3.096,5.818
2/28/2003,3.107,5.754
3/3/2003,3.16,5.7675
3/4/2003,3.19,5.71
3/5/2003,3.14,5.675
3/6/2003,3.1375,5.6225
3/7/2003,3.045,5.6325
3/10/2003,3.05,5.6575
3/11/2003,3.03,5.715
3/12/2003,2.9925,5.655
3/13/2003,3.0325,5.7525
3/14/2003,2.995,5.745
3/17/2003,2.9275,5.6825
3/18/2003,2.96,5.74
3/19/2003,2.9475,5.705
3/20/2003,2.9475,5.745
3/21/2003,2.86,5.7675
3/24/2003,2.81,5.6975
3/25/2003,2.81,5.735
3/26/2003,2.8425,5.69
3/27/2003,2.835,5.8025
3/28/2003,2.7925,5.8
3/31/2003,2.8675,5.745
4/1/2003,2.83,5.7375
4/2/2003,2.875,5.8675
4/3/2003,2.815,5.8525
4/4/2003,2.85,5.9075
4/7/2003,2.9025,5.9875
4/8/2003,2.835,6.01
4/9/2003,2.87,6.04
4/10/2003,2.855,6.01
4/11/2003,2.8425,6.0025
4/14/2003,2.8075,6.0775
4/15/2003,2.86,6.105
4/16/2003,2.8175,6.0925
4/17/2003,2.86,6.22
4/21/2003,2.9025,6.165
4/22/2003,2.8825,6.1
4/23/2003,2.9425,6.03
4/24/2003,2.9275,6.025
4/25/2003,2.919,5.995
4/28/2003,2.8435,6.063
4/29/2003,2.8135,6.23
4/30/2003,2.821,6.265
5/1/2003,2.8175,6.315
5/2/2003,2.8375,6.31
5/5/2003,2.8875,6.2775
5/6/2003,2.93,6.295
5/7/2003,3.0175,6.27
5/8/2003,2.985,6.245
5/9/2003,3.21,6.38
5/12/2003,3.31,6.425
5/13/2003,3.3125,6.4425
5/14/2003,3.2925,6.4925
5/15/2003,3.3875,6.4875
5/16/2003,3.385,6.42
5/19/2003,3.285,6.37
5/20/2003,3.35,6.4275
5/21/2003,3.3225,6.4
5/22/2003,3.255,6.2675
5/23/2003,3.2275,6.2825
5/27/2003,3.275,6.305
5/28/2003,3.19,6.23
5/29/2003,3.24,6.3
5/30/2003,3.2425,6.245
6/2/2003,3.1875,6.125
6/3/2003,3.195,6.1025
6/4/2003,3.135,6.1525
6/5/2003,3.205,6.1875
6/6/2003,3.205,6.315
6/9/2003,3.2725,6.255
6/10/2003,3.3375,6.335
6/11/2003,3.305,6.295
6/12/2003,3.37,6.245
6/13/2003,3.1775,6.145
6/16/2003,3.16,6.1725
6/17/2003,3.1675,6.2125
6/18/2003,3.165,6.29
6/19/2003,3.1575,6.3
6/20/2003,3.1175,6.2925
6/23/2003,3.07,6.3025
6/24/2003,3.0225,6.3575
6/25/2003,3.025,6.419
6/26/2003,3.017,6.2645
6/27/2003,3.0065,6.273
6/30/2003,3.0875,6.1565
