Month,Year,Inflation Rate,Recessionary State,Unemployment
8,2009,-1.5,,9.6
9,2009,-1.3,,9.8
10,2009,-0.2,,10
11,2009,1.8,,9.9
12,2009,2.7,,9.9
1,2010,2.6,,9.8
2,2010,2.1,,9.8
3,2010,2.3,,9.9
4,2010,2.2,,9.9
5,2010,2,,9.6
6,2010,1.1,,9.4
7,2010,1.2,,9.4
8,2010,1.1,,9.5
9,2010,1.1,,9.5
10,2010,1.2,,9.4
11,2010,1.1,,9.8
12,2010,1.5,,9.3
1,2011,1.6,,9.1
2,2011,2.1,,9
3,2011,2.7,,9
4,2011,3.2,,9.1
5,2011,3.6,,9
6,2011,3.6,,9.1
7,2011,3.6,,9
8,2011,3.8,,9
9,2011,3.9,,9
10,2011,3.5,,8.8
11,2011,3.4,,8.6
12,2011,3,,8.5
1,2012,2.9,,8.3
2,2012,2.9,,8.3
3,2012,2.7,,8.2
4,2012,2.3,,8.2
5,2012,1.7,,8.2
6,2012,1.7,,8.2
7,2012,1.4,,8.2
8,2012,1.7,,8.1
9,2012,2,,7.8
10,2012,2.2,,7.8
11,2012,1.8,,7.7
12,2012,1.7,,7.9
1,2013,1.6,,8
2,2013,2,,7.7
3,2013,1.5,,7.5
4,2013,1.1,,7.6
5,2013,1.4,,7.5
6,2013,1.8,,7.5
7,2013,2,,7.3
8,2013,1.5,,7.2
9,2013,1.2,,7.2
10,2013,1,,7.2
11,2013,1.2,,6.9
12,2013,1.5,,6.7
1,2014,1.6,,6.6
2,2014,1.1,,6.7
3,2014,1.5,,6.7
4,2014,2,,6.2
5,2014,2.1,,6.3
6,2014,2.1,,6.1
7,2014,2,,6.2
8,2014,1.7,,6.1
9,2014,1.7,,5.9
10,2014,1.7,,5.7
11,2014,1.3,,5.8
12,2014,0.8,,5.6
1,2015,-0.1,,5.7
2,2015,0,,5.5
3,2015,-0.1,,5.4
4,2015,-0.2,,5.4
5,2015,0,,5.6
6,2015,0.1,,5.3
7,2015,0.2,,5.2
8,2015,0.2,,5.1
9,2015,0,,5
10,2015,0.2,,5
11,2015,0.5,,5.1
12,2015,0.7,,5
1,2016,1.4,,4.9
2,2016,1,,4.9
3,2016,0.9,,5
4,2016,1.1,,5
5,2016,1,,4.8
6,2016,1,,4.9
7,2016,0.8,,4.8
8,2016,1.1,,4.9
9,2016,1.5,,5
10,2016,1.6,,4.9
11,2016,1.7,,4.7
12,2016,2.1,,4.7
1,2017,2.5,,4.7
2,2017,2.7,,4.6
3,2017,2.4,,4.4
4,2017,2.2,,4.4
5,2017,1.9,,4.4
6,2017,1.6,,4.3
7,2017,1.7,,4.3
8,2017,1.9,,4.4
9,2017,2.2,,4.2
10,2017,2,,4.1
11,2017,2.2,,4.2
12,2017,2.1,,4.1
1,2018,2.1,,4.1
2,2018,2.2,,4.1
3,2018,2.4,,4
4,2018,2.5,,4
5,2018,2.8,,3.8
6,2018,2.9,,4
7,2018,2.9,,3.8
8,2018,2.7,,3.8
9,2018,2.3,,3.7
10,2018,2.5,,3.8
11,2018,2.2,,3.7
12,2018,1.9,,3.9
1,2019,1.6,,4
2,2019,1.5,,3.8
3,2019,1.9,,3.8
4,2019,2,,3.6
5,2019,1.8,,3.6
6,2019,1.6,,3.7
7,2019,1.8,,3.7
8,2019,1.7,,3.7
9,2019,1.7,,3.5
10,2019,1.8,,3.6
11,2019,2.1,,3.5
12,2019,2.3,,3.5
1,2020,2.5,,3.6
2,2020,2.3,,3.5
3,2020,1.5,Recession,4.4
4,2020,0.3,Recession,14.7
5,2020,,,
6,2020,,,
7,2020,,,
8,2020,,,
9,2020,,,
10,2020,,,
11,2020,,,
12,2020,,,
